Energy_Consumption_kWh,Household_Size,Avg_Temperature_C,Has_AC,Peak_Hours_Usage_kWh,Household_ID_encoded
8.4,4,17.8,0,3.2,0
7.9,4,17.3,0,2.8,0
9.2,4,18.6,0,3.0,0
7.9,4,18.2,0,2.7,0
9.6,4,11.9,0,3.2,0
7.5,4,18.3,0,2.8,0
9.1,4,15.1,0,3.2,0
11.9,5,18.0,0,4.2,1
12.4,5,12.7,0,4.9,1
12.1,5,19.7,0,4.5,1
11.1,5,18.4,0,4.1,1
13.9,5,19.6,0,5.1,1
14.7,5,18.5,0,4.8,1
11.3,5,20.9,0,3.9,1
7.6,3,18.2,0,2.7,2
7.6,3,12.5,0,2.5,2
7.2,3,14.0,0,2.2,2
8.0,3,18.9,0,3.1,2
7.7,3,16.2,0,2.9,2
6.4,3,18.3,0,2.4,2
9.1,3,19.7,0,3.0,2
18.0,5,16.8,1,7.8,3
18.0,5,16.2,1,9.2,3
18.0,5,20.2,1,8.7,3
16.1,5,16.4,1,7.4,3
17.4,5,14.0,1,7.2,3
17.7,5,17.0,1,8.1,3
17.0,5,18.0,1,8.2,3
12.0,5,14.7,0,3.8,4
14.1,5,17.8,0,4.3,4
12.3,5,20.8,0,4.6,4
12.4,5,20.4,0,3.9,4
13.4,5,19.7,0,4.7,4
15.3,5,19.1,0,5.1,4
13.2,5,13.5,0,4.5,4
4.4,2,15.9,0,1.5,5
6.5,2,16.6,0,2.5,5
3.1,2,16.8,0,1.0,5
3.5,2,18.3,0,1.3,5
2.8,2,17.2,0,1.1,5
5.2,2,16.4,0,2.1,5
8.5,2,15.9,0,2.9,5
7.7,3,15.4,0,3.0,6
8.2,3,14.6,0,2.9,6
9.4,3,21.1,0,3.4,6
5.7,3,18.5,0,1.7,6
10.7,3,20.1,0,3.9,6
8.5,3,18.5,0,2.6,6
7.4,3,20.9,0,2.5,6
10.6,3,21.5,1,5.2,7
12.2,3,15.9,1,5.3,7
10.5,3,15.2,1,4.4,7
12.8,3,18.1,1,6.0,7
10.6,3,18.6,1,5.2,7
11.5,3,19.7,1,5.6,7
12.8,3,19.8,1,5.3,7
7.3,3,16.9,0,2.2,8
8.3,3,13.9,0,2.9,8
7.6,3,17.6,0,2.3,8
9.5,3,20.4,0,3.1,8
7.8,3,16.8,0,2.7,8
8.2,3,15.9,0,2.7,8
6.6,3,18.7,0,2.0,8
13.5,5,14.8,0,4.5,9
11.7,5,23.6,0,4.3,9
13.6,5,12.5,0,5.3,9
11.3,5,17.3,0,4.2,9
12.0,5,17.9,0,4.6,9
10.9,5,16.2,0,3.5,9
13.0,5,17.8,0,4.3,9
10.3,4,17.8,0,3.4,10
9.3,4,14.4,0,3.7,10
10.1,4,19.9,0,3.4,10
9.1,4,20.6,0,3.4,10
10.9,4,16.8,0,3.8,10
10.7,4,18.4,0,3.6,10
10.9,4,15.9,0,3.6,10
9.9,3,10.0,1,4.5,11
11.3,3,12.5,1,4.7,11
12.8,3,16.2,1,5.8,11
11.7,3,19.3,1,5.5,11
11.4,3,17.5,1,5.7,11
13.8,3,12.8,1,6.0,11
11.5,3,14.5,1,4.7,11
18.0,6,20.2,1,8.1,12
18.0,6,15.2,1,8.5,12
18.0,6,17.7,1,9.5,12
18.0,6,16.2,1,7.8,12
18.0,6,18.6,1,8.1,12
18.0,6,18.6,1,8.8,12
18.0,6,12.1,1,9.2,12
18.0,5,16.3,1,8.9,13
18.0,5,16.4,1,8.0,13
18.0,5,18.4,1,8.2,13
18.0,5,19.1,1,9.0,13
18.0,5,22.7,1,9.1,13
18.0,5,15.9,1,9.3,13
17.0,5,16.6,1,8.2,13
8.9,2,17.7,1,3.6,14
8.2,2,18.0,1,3.6,14
9.9,2,14.0,1,4.4,14
6.4,2,15.4,1,2.7,14
7.4,2,17.2,1,3.4,14
7.3,2,15.3,1,3.3,14
7.0,2,16.1,1,3.0,14
11.6,4,18.2,1,5.4,15
15.3,4,15.4,1,6.6,15
11.9,4,15.0,1,5.9,15
16.6,4,15.5,1,7.3,15
13.5,4,10.9,1,6.5,15
13.5,4,12.9,1,6.5,15
16.0,4,16.9,1,7.5,15
18.0,6,17.6,1,8.1,16
18.0,6,17.7,1,8.6,16
18.0,6,18.7,1,8.3,16
18.0,6,17.8,1,8.2,16
18.0,6,20.4,1,9.0,16
18.0,6,17.6,1,10.0,16
18.0,6,14.9,1,8.9,16
13.2,6,18.4,0,4.9,17
14.9,6,15.2,0,5.2,17
14.2,6,18.1,0,5.4,17
16.8,6,23.7,0,6.6,17
15.5,6,15.0,0,5.3,17
16.5,6,20.8,0,6.4,17
16.4,6,18.5,0,6.1,17
7.4,2,13.8,1,3.6,18
7.7,2,22.1,1,3.6,18
5.8,2,14.7,1,2.5,18
9.7,2,18.5,1,4.1,18
9.9,2,16.1,1,4.7,18
7.8,2,17.7,1,3.5,18
7.1,2,18.4,1,3.2,18
9.4,4,18.0,0,3.1,19
9.8,4,13.0,0,3.6,19
11.1,4,20.2,0,3.6,19
10.0,4,15.3,0,3.7,19
11.0,4,18.9,0,3.7,19
11.1,4,17.7,0,4.0,19
12.9,4,19.3,0,5.0,19
18.0,5,19.5,1,8.6,20
18.0,5,20.4,1,10.0,20
16.8,5,17.2,1,7.1,20
18.0,5,20.4,1,9.6,20
18.0,5,21.1,1,9.0,20
18.0,5,14.7,1,8.6,20
18.0,5,19.6,1,7.9,20
3.4,1,16.8,1,1.5,21
7.1,1,21.8,1,3.0,21
0.5,1,14.5,1,0.2,21
5.8,1,14.7,1,2.6,21
2.5,1,14.5,1,1.1,21
5.8,1,20.3,1,2.8,21
3.7,1,20.8,1,1.5,21
15.1,4,21.1,1,7.0,22
15.0,4,22.9,1,7.4,22
15.6,4,20.9,1,7.8,22
17.4,4,19.0,1,7.0,22
12.0,4,20.1,1,5.8,22
14.7,4,18.9,1,6.3,22
16.6,4,16.2,1,7.4,22
8.6,2,15.9,1,3.5,23
11.6,2,24.2,1,5.6,23
9.6,2,21.7,1,4.8,23
7.9,2,17.8,1,3.6,23
5.7,2,16.6,1,2.6,23
10.0,2,19.6,1,4.7,23
7.6,2,21.6,1,3.1,23
14.5,6,16.7,0,5.7,24
12.6,6,17.0,0,5.0,24
15.6,6,14.1,0,5.1,24
16.2,6,17.2,0,5.8,24
13.9,6,12.0,0,4.5,24
16.5,6,20.3,0,5.4,24
15.6,6,18.7,0,6.1,24
11.2,5,16.3,0,4.3,25
13.7,5,16.6,0,4.7,25
12.2,5,20.4,0,4.1,25
13.8,5,18.1,0,4.9,25
11.3,5,14.6,0,4.1,25
12.3,5,19.7,0,4.3,25
13.1,5,10.9,0,4.9,25
13.2,4,13.5,1,6.4,26
17.8,4,21.4,1,8.2,26
15.7,4,15.1,1,6.3,26
14.7,4,16.8,1,6.9,26
13.3,4,17.0,1,5.4,26
16.0,4,22.9,1,6.7,26
14.5,4,19.1,1,6.5,26
4.0,1,17.8,1,1.9,27
4.1,1,17.2,1,1.7,27
4.8,1,17.5,1,2.1,27
1.7,1,12.9,1,0.7,27
2.5,1,15.0,1,1.0,27
4.7,1,19.2,1,2.1,27
2.8,1,15.4,1,1.4,27
4.3,1,17.3,1,1.8,28
5.4,1,20.9,1,2.4,28
6.0,1,21.0,1,3.0,28
3.7,1,21.3,1,1.7,28
4.8,1,22.3,1,2.1,28
2.4,1,17.4,1,1.1,28
1.6,1,16.3,1,0.7,28
8.0,3,12.7,0,2.8,29
9.3,3,19.0,0,3.1,29
7.1,3,12.2,0,2.6,29
8.9,3,16.7,0,3.0,29
7.3,3,19.5,0,2.7,29
6.6,3,15.7,0,2.1,29
6.4,3,15.3,0,2.3,29
6.1,3,16.8,0,2.2,30
7.3,3,16.6,0,2.2,30
7.8,3,16.2,0,2.6,30
5.0,3,18.9,0,1.8,30
7.2,3,12.6,0,2.3,30
8.0,3,18.9,0,3.2,30
6.2,3,19.6,0,1.9,30
6.9,2,13.9,0,2.6,31
6.4,2,16.6,0,2.3,31
3.6,2,17.0,0,1.2,31
3.5,2,18.5,0,1.4,31
4.3,2,18.6,0,1.4,31
5.7,2,18.0,0,2.1,31
3.8,2,17.9,0,1.5,31
11.4,4,21.3,0,3.5,32
9.6,4,15.4,0,3.6,32
11.7,4,18.2,0,3.7,32
11.0,4,22.6,0,4.2,32
9.7,4,14.9,0,3.8,32
11.3,4,23.0,0,4.4,32
